,AnnualVolumeM3,YEAR,WAP,DataSource,RecordNumber,Source
34,369384,2021,BU24/0058-M1,DataCol,CRC203050,
56,114684,2018,BU25/5022-M1,WaterCheck,CRC222773,
68,233278,2018,BU26/0002-M1,WaterCheck,CRC204020,
84,106654,2018,BU26/0009-M1,WaterMetrics,CRC202596,
90,138384,2018,BU26/0013-M1,Boraman,CRC201378,
100,0,2021,BU26/0033-M1,Loncel,CRC210557,
107,121972,2018,BV24/0004-M1,WaterCheck,CRC202106,
166,76760,2018,BV24/0041-M1,WaterCheck,CRC202954,
172,162919,2018,BV24/0045-M1,WaterCheck,CRC202953,
181,108641,2018,BV24/0049-M1,WaterCheck,CRC222984,
198,54519,2020,BV24/0108-M1,WaterCheck,CRC204676,
199,54519,2020,BV24/0108-M1,WaterCheck,CRC202955,
204,35,2018,BV25/0003-M1,WaterCheck,CRC221037,
225,14585,2019,BV25/0018-M1,AnnualManual20182019,CRC203490,
251,90092,2018,BV26/0004-M1,WaterCheck,CRC201637,
265,78439,2021,BV26/0012-M1,WaterCheck,CRC204837,
266,78439,2021,BV26/0012-M1,WaterCheck,CRC204834,
269,3559,2022,BW21/0010-M1,Aqualinc,CRC210185,
274,92065,2018,BW22/0022-M1,WaterMetrics,CRC141422,
282,213305,2018,BW22/0023-M1,WaterCheck,CRC202524,
287,172019,2018,BW22/0025-M1,WaterCheck,CRC210165,
294,40454,2018,BW22/0063-M1,WaterCheck,CRC214367,
346,29284,2018,BW23/0075-M1,WaterMetrics,CRC222231,
365,192785,2018,BW23/0209-M1,WaterCheck,CRC222883,
370,31464,2018,BW23/0213-M1,DataCol,CRC220380,
424,47733,2020,BW23/0470-M1,DataCol,CRC201840,
459,0,2019,BW24/0382-M1,DataCol,CRC222328,
471,0,2022,BW24/0569-M1,DataCol,CRC211968,
478,100382,2018,BX20/0037-M1,WaterCheck,CRC210088,
488,44723,2018,BX20/0041-M1,Boraman,CRC223129,
493,0,2022,BX20/0051-M1,Loncel,CRC203381,
494,152551,2022,BX20/0054-M1,DataCol,CRC210670,
498,20048,2022,BX20/0116-M1,AnnualManual20202021,CRC212637,
500,11434,2022,BX20/0119-M1,Loncel,CRC221236,
501,439824,2018,BX21/0009-M1,Boraman,CRC136981,
549,37176,2019,BX22/0030-M1,DataCol,CRC215250,
550,37176,2019,BX22/0030-M1,DataCol,CRC215251,
563,72251,2018,BX22/0052-M1,WaterMetrics,CRC202028,
611,21468,2019,BX22/0152-M1,DataCol,CRC225118,
637,65265,2021,BX22/0190-M1,DataCol,CRC201412,
639,317002,2020,BX22/0195-M1,Loncel,CRC201224,
671,0,2018,BX23/0253-M1,WaterCheck,CRC230798,
683,178714,2018,BX23/0270-M1,WaterCheck,CRC203054,
688,0,2022,BX23/0295-M1,Loncel,CRC223137,
702,171610,2018,BX23/0354-M1,Loncel,CRC195375,
708,11573,2018,BX23/0473-M1,AnnualManual20182019,CRC222521,
723,34736,2018,BX23/0539-M1,WaterCheck,CRC195522,
755,42222,2021,BX23/0642-M1,WaterCheck,CRC212886,
762,1513,2021,BX23/0662-M1,AnnualManual20202021,CRC213549,
765,31119,2019,BX23/0707-M1,WaterCheck,CRC221608,
768,0,2020,BX23/0724-M1,DataCol,CRC202945,
775,48,2019,BX23/0740-M1,AnnualManual20182019,CRC182846,
802,6011,2019,BX23/0790-M1,WaterCheck,CRC200136,
816,28684,2020,BX23/0842-M1,DataCol,CRC201918,
825,2495,2020,BX23/0871-M1,DataCol,CRC203209,
828,1576,2021,BX23/0968-M1,ScadaFarm,CRC212947,
831,17,2021,BX23/0998-M1,DataCol,CRC201960,
833,0,2021,BX23/1003-M1,Number8Systems,CRC211514,
835,14817,2021,BX23/1004-M1,DataCol,CRC212224,
837,924,2021,BX23/1028-M1,WaterCheck,CRC221492,
839,8,2022,BX23/1105-M1,DataCol,CRC221237,
867,236823,2019,BX24/1652-M1,AnnualManual20182019,CRC204672,
899,30123,2019,BY18/0004-M1,AnnualBoraman20182019,CRC166770,
900,30123,2019,BY18/0004-M1,AnnualBoraman20182019,CRC143522,
913,21257,2018,BY18/0009-M1,DataCol,CRC200336,
918,58289,2020,BY18/0095-M1,AnnualManual20192020,CRC991986.1,
922,11667,2020,BY19/0103-M1,DataCol,CRC200179,
925,179844,2018,BY20/0002-M1,WaterMetrics,CRC211178,
956,0,2018,BY20/0018-M1,SeasonalFlow1617,CRC054382.1,
992,121487,2018,BY20/0060-M1,WaterMetrics,CRC201217,
1024,3562,2020,BY20/0081-M1,DataCol,CRC201724,
1032,214921,2018,BY20/0090-M1,DataCol,CRC214871,
1063,78356,2021,BY20/0103-M1,Loncel,CRC200216,
1065,120209,2018,BY20/0109-M1,Loncel,CRC223491,
1075,102502,2021,BY20/0114-M1,WaterCheck,CRC203230,
1101,297281,2021,BY20/0126-M1,DataCol,CRC195350,
1109,49020,2018,BY20/0130-M1,Loncel,CRC201001,
1119,7720,2022,BY20/0133-M1,DataCol,CRC224831,
1120,60234,2018,BY20/0137-M1,Harvest,CRC223335,
1140,327317,2019,BY20/0145-M1,Loncel,CRC203679,
1159,95528,2018,BY20/0162-M1,DataCol,CRC221075,
1190,14960,2019,BY20/0183-M1,DataCol,CRC220367,
1199,2897716,2021,BY20/0215-M1,Loncel,CRC195463,
1204,0,2021,BY20/0220-M1,AnnualManual20212022,CRC201404,
1209,24148,2018,BY21/0002-M1,AnnualManual20172018,CRC203099,
1215,156158,2018,BY21/0024-M1,DataCol,CRC230078,
1226,281909,2018,BY21/0034-M1,Boraman,CRC222481,
1231,356196,2018,BY21/0037-M1,WaterMetrics,CRC223959,
1323,230547,2020,BY21/0131-M1,DataCol,CRC222589,
1341,6171,2021,BY21/0193-M1,Loncel,CRC223669,
1362,0,2018,BY21/0205-M1,DataCol,CRC230675,
1377,81504,2022,BY21/0215-M1,Boraman,CRC220162,
1379,49912,2019,BY21/0221-M1,DataCol,CRC231043,
1389,7971,2019,BY21/0240-M1,AnnualManual20192020,CRC221077,
1390,205741,2020,BY21/0268-M1,DataCol,CRC220287,
1401,3501,2022,BY21/0313-M1,Aqualinc,CRC222753,
1402,3501,2022,BY21/0313-M1,Aqualinc,CRC222754,
1403,92363,2020,BY21/0331-M1,WaterCheck,CRC202171,
1406,33007,2020,BY21/0337-M1,Loncel,CRC201553,
1409,562489,2021,BY21/0338-M1,ScadaFarm,CRC203119,
1412,0,2020,BY21/0351-M1,Loncel,CRC204263,
1415,67794,2022,BY21/0385-M1,DataCol,CRC211681,
1416,101313,2022,BY21/0438-M1,WaterCheck,CRC220811,
1441,210402,2018,BY22/0012-M1,AnnualManual20182019,CRC223125,
1588,6902,2020,BY22/0042-M1,DataCol,CRC213366,
1615,274542,2021,BY22/0065-M1,Boraman,CRC182948,
1617,82016,2022,BY22/0072-M1,Harvest,CRC221455,
1628,16529,2022,BY23/0008-M1,DataCol,CRC202040,
1633,203880,2020,BY23/0015-M1,DataCol,CRC202091,
1661,91,2018,BY23/0755-M1,AnnualManual20182019,CRC221322,
1675,0,2020,BY23/0770-M1,DataCol,CRC225137,
1676,0,2020,BY23/0770-M1,DataCol,CRC221293,
1683,447,2022,BY23/0776-M1,DataCol,CRC221826,
1692,24040,2020,BZ15/5111-M1,WaterCheck,CRC200372,
1714,9532,2018,BZ18/0001-M1,Boraman,CRC144717,
1730,106012,2018,BZ18/0016-M1,Boraman,CRC230569,
1748,132828,2018,BZ19/0040-M1,Boraman,CRC221942,
1749,132828,2018,BZ19/0040-M1,Boraman,CRC221945,
1887,578053,2018,BZ19/0218-M1,AnnualManual20172018,CRC204935,
1893,171311,2018,BZ20/0001-M1,Boraman,CRC222129,
1919,288059,2018,BZ20/0016-M1,ECS,CRC136691,
1929,4456,2018,BZ20/0025-M1,Boraman,CRC155131,
1975,22,2018,BZ20/0054-M1,Aqualinc,CRC230614,
1980,177409,2019,BZ20/0055-M1,Boraman,CRC222132,
1989,70570,2022,BZ20/0059-M1,AnnualManual20212022,CRC231358,
1990,518624,2021,BZ20/0077-M1,DataCol,CRC210899,
2039,0,2021,CA17/0004-M1,DataCol,CRC222393,
2061,295471,2018,CA19/0011-M1,Loncel,CRC223223,
2066,952001,2018,CA19/0014-M1,Loncel,CRC230076,
2078,257734,2018,CA19/0016-M1,Loncel,CRC211504,
2096,80331,2018,CA19/0038-M1,Aqualinc,CRC161646,
2104,658,2020,CA19/0045-M1,WaterCheck,CRC205041,
2107,61217,2018,CA19/0056-M1,DataCol,CRC195265,
2129,143,2019,CB17/5020-M1,Boraman,CRC200132,
2145,19709,2018,CB18/5011-M1,SeasonalFlow1617,CRC224707,
2146,33906641,2018,CB18/5011-M1,AnnualManual20172018,CRC224708,
2179,48595,2018,H37/0024-M1,WaterCheck,CRC225051,
2203,1477654,2018,H38/0197-M1,ECS,CRC215268,
2277,369553,2018,H39/0060-M1,Loncel,CRC201973,
2353,68548,2018,H39/0094-M1,Boraman,CRC201984,
2407,29344,2019,H39/0173-M1,AnnualManual20202021,CRC202739,
2468,94082,2018,H40/0020-M1,AnnualBoraman20172018,CRC210012,
2469,315316,2018,H40/0020-M1,AnnualBoraman20172018,CRC210011,
2470,693789,2018,H40/0020-M1,AnnualBoraman20172018,CRC210010,
2575,167126,2021,I38/0064-M1,Boraman,CRC213908,
2668,13868,2022,I39/0037-M1,Harvest,CRC201491,
2670,55389,2022,I39/0038-M1,Harvest,CRC201484,
2737,1873,2018,I40/0461-M1,WaterCheck,CRC214878,
2758,115802,2018,I40/0546-M1,Boraman,CRC220786,
2767,175906,2018,I40/0550-M1,Boraman,CRC203692,
2772,498214,2018,I40/0551-M1,Boraman,CRC213761,
2787,177419,2018,I40/0554-M1,Boraman,CRC201165,
2813,462355,2018,I40/0562-M1,AnnualBoraman20172018,CRC203646,
2922,64,2019,I40/0601-M1,Boraman,CRC203952,
2943,61,2021,I40/0607-M1,DataCol,CRC222391,
2994,561000,2018,I40/0637-M1,DataCol,CRC062366,
2995,561000,2018,I40/0637-M1,DataCol,CRC141651,
3004,570520,2018,I40/0638-M1,DataCol,CRC180333,
3019,2138294,2018,I40/0699-M1,Boraman,CRC176651,
3086,13181,2018,I41/0054-M1,WaterCheck,CRC204341,
3087,13181,2018,I41/0054-M1,WaterCheck,CRC204342,
3109,127683,2018,J37/0030-M1,Boraman,CRC222276,
3173,73589,2018,J37/0250-M1,AnnualManual20182019,CRC214327,
3174,0,2018,J37/0250-M1,Boraman,CRC214329,
3313,77,2021,J38/0114-M1,WaterCheck,CRC224247,
3349,34654,2018,J38/0164-M1,Boraman,CRC202786,
3357,332729,2018,J38/0168-M1,Boraman,CRC195043,
3368,0,2020,J38/0177-M1,Boraman,CRC230585,
3370,4,2021,J38/0178-M1,AnnualManual20202021,CRC221008,
3419,0,2018,J38/0229-M1,Boraman,CRC222568,
3420,0,2018,J38/0229-M1,Boraman,CRC222570,
3429,237,2018,J38/0246-M1,Boraman,CRC230429,
3431,237,2018,J38/0246-M1,Boraman,CRC230427,
3541,99608,2018,J38/0323-M1,Boraman,CRC224119,
3591,96794,2018,J38/0401-M1,Boraman,CRC230740,
3641,159357,2018,J38/0505-M1,Boraman,CRC222572,
3642,159357,2018,J38/0505-M1,Boraman,CRC222574,
3678,0,2018,J38/0592-M1,Boraman,CRC201992,
3687,45216,2018,J38/0610-M1,Boraman,CRC222802,
3730,196816,2018,J38/0706-M1,Boraman,CRC231281,
3800,54831,2018,J38/0765-M1,ECS,CRC202611,
3869,8014,2018,J38/0792-M1,Loncel,CRC181839,
3870,3078,2018,J38/0792-M1,Loncel,CRC203793,
3905,134,2018,J38/0797-M1,Boraman,CRC221768,
3929,120827,2018,J38/0801-M1,Boraman,CRC230595,
4075,195944,2018,J39/0120-M1,DataCol,CRC200692,
4080,72581,2018,J39/0139-M1,ECS,CRC201521,
4116,2285892,2018,J39/0228-M1,ECS,CRC203997,
4243,24877869,2018,J39/0494-M1,AnnualManual20172018,CRC203947,
4320,179,2018,J39/0565-M1,AnnualManual20172018,CRC204807,
4336,70960,2018,J39/0597-M1,Boraman,CRC211663,
4478,8805,2018,J39/0686-M1,Loncel,CRC223058,
4498,157738,2018,J39/0692-M1,ECS,CRC152629,
4522,24169,2018,J39/0702-M1,ECS,CRC201519,
4557,198546,2018,J39/0732-M1,ECS,CRC122042,
4598,91942,2018,J40/0040-M1,AnnualManual20172018,CRC136908,
4604,6930,2018,J40/0049-M1,Loncel,CRC220265,
4677,726,2022,J40/0154-M1,Number8Systems,CRC131068,
4678,17013,2018,J40/0156-M1,AnnualBoraman20172018,CRC222707,
4722,14074,2018,J40/0405-M1,ECS,CRC093178,
4732,0,2018,J40/0639-M1,Loncel,CRC222723,
4781,25775,2018,J40/0815-M1,Loncel,CRC222274,
4825,1737589,2018,J40/0918-M1,Loncel,CRC194929,
4835,6540230,2018,J40/0927-M1,SeasonalFlow1617,CRC203218,
4839,59295,2018,J40/0932-M1,Boraman,CRC222988,
4844,26851,2018,J40/0937-M1,Loncel,CRC230073,
4856,34405,2018,J40/0940-M1,Boraman,CRC222986,
4861,0,2018,J40/0951-M1,AnnualBoraman20172018,CRC220678,
4882,23546,2018,J40/0964-M1,ECS,CRC094151,
4883,61637,2018,J40/0964-M1,ECS,CRC193421,
4939,0,2018,J40/1068-M1,Boraman,CRC213070,
4945,835797,2018,J40/1103-M1,DataCol,CRC200635,
4966,8224,2018,J40/1106-M1,ECS,CRC120332,
4967,15221,2018,J40/1106-M1,ECS,CRC221415,
5060,9792,2018,J41/0204-M1,Boraman,CRC140609,
5075,1478,2021,K35/0030-M1,WaterCheck,CRC110406,
5077,150387,2018,K35/0044-M1,WaterCheck,CRC230484,
5095,98201,2018,K36/0043-M1,Boraman,CRC200260,
5102,64387,2018,K36/0086-M1,Boraman,CRC200227,
5108,122602,2018,K36/0087-M1,AnnualRainer20172018,CRC200211,
5117,234087,2018,K36/0110-M1,Boraman,CRC200208,
5128,454561,2018,K36/0179-M1,AnnualRainer20172018,CRC200272,
5146,392092,2018,K36/0201-M1,WaterMetrics,CRC200214,
5153,106608,2018,K36/0203-M1,WaterMetrics,CRC200193,
5167,159619,2018,K36/0210-M1,WaterMetrics,CRC231283,
5180,0,2018,K36/0217-M1,DataCol,CRC200195,
5210,20869,2018,K36/0320-M1,WaterMetrics,CRC201050,
5218,66310,2018,K36/0322-M1,AnnualRainer20172018,CRC212248,
5275,125555,2018,K36/0549-M1,Boraman,CRC223346,
5287,447243,2018,K36/0557-M1,AnnualRainer20172018,CRC220400,
5293,104028,2018,K36/0574-M1,Loncel,CRC200222,
5457,281280,2018,K36/0673-M1,WaterMetrics,CRC220817,
5458,281280,2018,K36/0673-M1,WaterMetrics,CRC223474,
5571,0,2018,K36/0792-M1,Harvest,CRC157761,
5594,114955,2018,K36/0806-M1,WaterMetrics,CRC230453,
5614,39239,2022,K36/0818-M1,Number8Systems,CRC200201,
5621,391400,2018,K36/0823-M1,WaterMetrics,CRC054610.1,
5636,56290,2018,K36/0824-M1,WaterMetrics,CRC210669,
5690,93138,2018,K36/0859-M1,Boraman,CRC082614,
5715,4188129,2020,K36/0861-M1,WaterCheck,CRC200257,
5718,25176,2018,K36/0867-M1,AnnualBoraman20172018,CRC200269,
5726,133182,2018,K36/0869-M1,WaterMetrics,CRC200220,
5732,4351,2018,K36/0881-M1,AnnualRainer20172018,CRC222780,
5734,22376,2021,K36/0883-M1,AnnualManual20202021,CRC200264,
5738,200,2018,K36/0894-M1,AnnualBoraman20172018,CRC200242,
5746,322638,2018,K36/0895-M1,Boraman,CRC200241,
5756,22816067,2018,K36/0920-M1,Boraman,CRC200187,
5773,0,2018,K36/0921-M1,WaterMetrics,CRC200259,
5802,6435,2018,K36/0955-M1,AnnualRainer20172018,CRC200210,
5816,1004692,2018,K36/0963-M1,AnnualBoraman20172018,CRC200225,
5823,255149,2018,K36/0970-M1,AnnualBoraman20172018,CRC230834,
5852,146355,2018,K36/1005-M1,Boraman,CRC200218,
5858,565613,2018,K36/1006-M1,Boraman,CRC200224,
5902,13223,2018,K37/0015-M1,WaterMetrics,CRC200207,
5937,155314,2018,K37/0024-M1,Aqualinc,CRC052262,
6022,30071,2018,K37/0120-M1,DataCol,CRC230757,
6054,1155,2018,K37/0178-M1,WaterMetrics,CRC200203,
6133,75772,2018,K37/0342-M1,Boraman,CRC200246,
6138,0,2018,K37/0348-M1,Scottech1617,CRC200270,
6142,33066,2018,K37/0354-M1,DataCol,CRC200226,
6152,74940,2018,K37/0385-M1,Boraman,CRC200243,
6165,338949,2018,K37/0419-M1,AnnualManual20172018,CRC215077,
6176,156715,2018,K37/0431-M1,Boraman,CRC200196,
6313,9102,2019,K37/0651-M1,AnnualRainer20182019,CRC223771,
6328,24922,2018,K37/0656-M1,Boraman,CRC222003,
6338,86,2022,K37/0661-M1,DataCol,CRC212598,
6344,100364,2018,K37/0684-M1,Boraman,CRC221134,
6416,46624,2018,K37/0751-M1,AnnualManual20172018,CRC204189,
6444,30127,2018,K37/0790-M1,WaterMetrics,CRC222908,
6445,30127,2018,K37/0790-M1,WaterMetrics,CRC222909,
6466,66,2018,K37/0811-M1,AnnualManual20172018,CRC204954,
6472,27189,2018,K37/0812-M1,Aqualinc,CRC230373,
6545,47691,2018,K37/0898-M1,Aqualinc,CRC224003,
6589,46315,2018,K37/0944-M1,WaterMetrics,CRC220390,
6613,324498,2018,K37/0981-M1,WaterMetrics,CRC222122,
6693,218780,2018,K37/1036-M1,WaterMetrics,CRC222633,
6767,286513,2018,K37/1292-M1,WaterMetrics,CRC202232,
6879,331006,2018,K37/1321-M1,DataCol,CRC200846,
6926,11874,2018,K37/1388-M1,WaterMetrics,CRC200192,
6971,342835,2018,K37/1430-M1,Boraman,CRC224770,
6976,433661,2018,K37/1434-M1,WaterMetrics,CRC203744,
7004,98894,2018,K37/1454-M1,Boraman,CRC203630,
7049,273913,2018,K37/1500-M1,Aqualinc,CRC213429,
7089,148750,2018,K37/1507-M1,WaterMetrics,CRC220392,
7109,251993,2018,K37/1516-M1,Loncel,CRC195241,
7164,3940,2022,K37/1541-M1,Boraman,CRC203615,
7194,164965,2018,K37/1576-M1,AnnualManual20172018,CRC204648,
7218,212239,2018,K37/1600-M1,Aqualinc,CRC210786,
7266,150077,2018,K37/1614-M1,WaterMetrics,CRC201216,
7277,209769,2018,K37/1616-M1,WaterMetrics,CRC231293,
7309,129365,2018,K37/1649-M1,WaterMetrics,CRC230048,
7356,20088,2019,K37/1685-M1,AnnualManual20182019,CRC215290,
7364,75858,2018,K37/1687-M1,DataCol,CRC171764,
7463,264460,2018,K37/1746-M1,WaterMetrics,CRC050473.1,
7479,55462,2018,K37/1747-M1,WaterMetrics,CRC202872,
7488,134821,2018,K37/1752-M1,WaterCheck,CRC202815,
7514,312335,2018,K37/1765-M1,WaterMetrics,CRC202849,
7550,9296,2018,K37/1793-M1,WaterMetrics,CRC134879,
7567,11,2018,K37/1819-M1,Rainer1617,CRC052214.1,
7601,238652,2018,K37/1881-M1,Loncel,CRC204026,
7610,0,2022,K37/1883-M1,Harvest,CRC050406.1,
7664,0,2018,K37/2033-M1,AnnualRainer20172018,CRC200752,
7691,43177,2018,K37/2078-M1,Boraman,CRC202710,
7788,23374,2018,K37/2150-M1,WaterMetrics,CRC201906,
7806,317825,2018,K37/2154-M1,Boraman,CRC230043,
7812,241976,2018,K37/2155-M1,Loncel,CRC220384,
7900,32585,2018,K37/2238-M1,AnnualRainer20172018,CRC202811,
